value,time
157,40
157,41
159,42
155,43
142,44
160,45
176,46
171,47
164,48
164,49
0,50
166,51
164,52
162,53
162,54
159,55
144,56
176,57
178,58
173,59
0,60
160,61
159,62
156,63
159,64
157,65
159,66
159,67
141,68
174,69
0,70
174,71
173,72
166,73
162,74
165,75
161,76
157,77
159,78
156,79
0,80
172,81
176,82
169,83
163,84
161,85
158,86
162,87
162,88
160,89
0,90
162,91
144,92
159,93
181,94
175,95
168,96
163,97
164,98
161,99
0,100
157,101
155,102
159,103
144,104
168,105
178,106
174,107
169,108
165,109
0,110
162,112
161,113
159,114
160,115
144,116
176,117
178,118
0,119
0,120
0,121
158,122
157,123
156,124
159,125
156,126
0,127
0,128
148,129
0,130
169,131
169,132
165,133
165,134
165,135
159,136
160,137
157,138
151,139
0,140
147,141
176,142
166,143
162,144
162,145
157,146
160,147
160,148
160,149
0,150
162,151
145,152
176,153
180,154
176,155
169,156
164,157
161,158
160,159
0,160
157,161
155,162
156,163
142,164
176,165
176,166
170,167
166,168
165,169
0,170
160,171
162,172
164,173
163,174
161,175
142,176
176,177
174,178
0,179
0,180
160,181
155,182
0,183
158,184
156,185
154,186
158,187
170,188
176,189
0,190
176,191
169,192
166,193
162,194
160,195
158,196
154,197
158,198
154,199
0,200
168,201
176,202
170,203
161,204
160,205
158,206
155,207
161,208
157,209
0,210
160,211
144,212
176,213
177,214
173,215
165,216
161,217
158,218
159,219
0,220
157,221
158,222
155,223
143,224
160,225
176,226
169,227
165,228
159,229
161,230
162,231
163,232
161,233
161,234
162,235
144,236
160,237
176,238
164,239
0,240
160,241
159,242
159,243
156,244
156,245
155,246
157,247
144,248
176,249
0,250
176,251
167,252
165,253
165,254
160,255
162,256
159,257
155,258
157,259
0,260
168,261
176,262
168,263
164,264
160,265
161,266
157,267
164,268
161,269
0,270
161,271
144,272
160,273
179,274
167,275
165,276
160,277
160,278
155,279
0,280
159,281
158,282
154,283
143,284
176,285
176,286
174,287
166,288
164,289
0,290
164,291
161,292
160,293
162,294
162,295
144,296
160,297
179,298
170,299
0,300
159,301
160,302
156,303
158,304
158,305
157,306
159,307
144,308
176,309
177,310
175,311
169,312
168,313
166,314
164,315
160,316
159,317
160,318
157,319
0,320
160,321
177,322
170,323
162,324
165,325
161,326
160,327
161,328
162,329
166,330
163,331
147,332
162,333
181,334
175,335
167,336
165,337
161,338
158,339
0,340
161,341
159,342
161,343
142,344
153,345
178,346
174,347
165,348
166,349
0,350
165,351
165,352
162,353
160,354
164,355
145,356
168,357
176,358
173,359
0,360
160,361
162,362
156,363
160,364
160,365
158,366
158,367
144,368
176,369
0,370
176,371
160,372
0,373
163,374
160,375
154,376
162,377
160,378
159,379
0,380
176,381
177,382
173,383
164,384
161,385
163,386
160,387
160,388
162,389
0,390
161,391
145,392
178,393
178,394
175,395
165,396
160,397
161,398
157,399
0,400
156,401
158,402
157,403
144,404
160,405
176,406
167,407
163,408
163,409
0,410
163,411
163,412
162,413
163,414
161,415
144,416
176,417
176,418
169,419
0,420
161,421
160,422
158,423
157,424
157,425
160,426
159,427
144,428
176,429
176,430
173,431
172,432
166,433
164,434
163,435
159,436
158,437
159,438
158,439
0,440
147,441
176,442
171,443
165,444
160,445
159,446
161,447
161,448
159,449
0,450
161,451
144,452
161,453
179,454
175,455
165,456
163,457
162,458
158,459
0,460
159,461
158,462
159,463
144,464
160,465
176,466
171,467
166,468
165,469
0,470
165,471
165,472
163,473
164,474
161,475
144,476
176,477
177,478
170,479
0,480
161,481
157,482
156,483
156,484
158,485
159,486
159,487
143,488
175,489
0,490
173,491
169,492
169,493
162,494
161,495
162,496
160,497
159,498
158,499
0,500
160,501
176,502
167,503
161,504
162,505
162,506
162,507
159,508
161,509
0,510
161,511
147,512
176,513
181,514
174,515
170,516
162,517
161,518
158,519
0,520
157,521
158,522
160,523
144,524
172,525
176,526
173,527
166,528
163,529
164,530
161,531
163,532
165,533
162,534
160,535
144,536
176,537
176,538
170,539
0,540
161,541
161,542
159,543
154,544
156,545
156,546
160,547
144,548
176,549
0,550
174,551
171,552
169,553
167,554
161,555
161,556
160,557
160,558
160,559
0,560
168,561
176,562
167,563
164,564
161,565
160,566
159,567
158,568
161,569
0,570
160,571
144,572
176,573
183,574
173,575
166,576
158,577
160,578
157,579
0,580
154,581
166,582
0,583
140,584
176,585
176,586
170,587
166,588
164,589
0,590
163,591
167,592
165,593
161,594
161,595
144,596
175,597
176,598
169,599
0,600
161,601
159,602
159,603
156,604
155,605
157,606
159,607
144,608
176,609
0,610
176,611
171,612
165,613
164,614
163,615
161,616
162,617
159,618
157,619
0,620
160,621
176,622
172,623
164,624
159,625
160,626
158,627
159,628
162,629
163,630
161,631
146,632
178,633
180,634
173,635
164,636
166,637
161,638
158,639
0,640
156,641
157,642
157,643
144,644
176,645
178,646
171,647
165,648
161,649
0,650
166,651
161,652
165,653
160,654
162,655
144,656
176,657
176,658
165,659
0,660
161,661
160,662
156,663
158,664
157,665
159,666
159,667
144,668
176,669
0,670
172,671
172,672
170,673
167,674
163,675
161,676
159,677
160,678
157,679
0,680
172,681
176,682
167,683
163,684
160,685
160,686
159,687
160,688
157,689
0,690
166,691
147,692
176,693
180,694
173,695
170,696
164,697
162,698
158,699
0,700
155,701
157,702
158,703
144,704
160,705
176,706
171,707
167,708
163,709
0,710
163,711
164,712
161,713
161,714
160,715
143,716
176,717
176,718
